support_type,cut_level,keep_first,cut_first,fallback_plan,strong_line,avoid_point
research_grant,mild,固定前処理 被験者外評価 比較表,追加データセット 追加比較軸,主要データセット数を絞って benchmark の骨格を守る,縮小したが評価条件は守った,比較条件まで削らない
research_grant,medium,比較表 再現 notebook 短報ドラフト,補助分析 外部発表,主要2条件の cross-dataset 比較に絞って短報化まで到達する,比較軸を減らしたが成果物の形式は維持した,探索的分析を抱え込まない
research_grant,hard,1本の比較表 1本の再現 notebook,新規比較軸 派生実験,最小の benchmark commons として1セットだけ確実に残す,外側を削って中核成果物を守った,新規実験へ広げない
award_or_prize,mild,代表図表 公開資料 成果整理,周辺発表 見せ方の拡張,発表回数を減らしても成果物の可視化を優先する,見せ場を減らしても実績の芯は残した,イベント露出を優先しない
award_or_prize,medium,図表 notebook 公開,英文校閲 外部発表,受賞後の見せ方を最小限にして継続成果の証拠を整える,派手さより継続成果を残した,将来計画だけに寄せない
award_or_prize,hard,代表成果物1セット,追加発表 追加整備,最小限の成果公開だけを守って次段申請に接続する,小さくても出したものを残した,見栄えだけを守らない
activity_grant,mild,教材 録画 追試導線,会場装飾 配布物の余白,現地費用を削っても教材パッケージを残す,開催規模を減らしても再利用性は守った,場づくり優先にしない
activity_grant,medium,1回の高密度ハンズオン 教材パッケージ,開催回数 周辺イベント,回数を減らしても1回分の教材と録画を完成させる,件数を減らしたが成果物の形式は維持した,複数回開催にこだわらない
activity_grant,hard,非同期教材 wiki CSV,同期イベント 大きな会場,非同期で追試可能な教材基盤へ切り替える,イベントを削っても追試導線は残した,参加人数を成果にしない
loan_or_finance,mild,比較表 申請書ドラフト 小口費用,余裕分の保存や発表費,橋渡しとして必要な費目だけを残す,用途を限定して短期成果を守った,余裕費を抱えない
loan_or_finance,medium,計算 保存 申請準備,追加検証 外部発表,止めないための最小費目に絞って次段接続を優先する,縮小しても接続点は残した,夢の拡張費に見せない
loan_or_finance,hard,計算 保存 申請骨子,周辺整備 追加公開,再申請に必要な最小セットだけで短期接続を成立させる,外側を削って橋渡し機能を守った,設備投資へ話を広げない
