uid,rq_index,rq_text,maintenance_trigger_ja,schedule_item_1_ja,schedule_item_2_ja,schedule_item_3_ja,next_window_utc,maintenance_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,maintain closure_certified,Record the start time of the monitoring window,Check for differences,Redetermine restart guard conditions,2026-03-15T14:38:23Z,schedule_fixed,2026-03-01T23:15:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",maintain closure_certified,Record the start time of the monitoring window,Check for differences,Redetermine restart guard conditions,2026-03-15T14:38:23Z,schedule_fixed,2026-03-01T23:15:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,maintain closure_certified,Record the start time of the monitoring window,Check for differences,Redetermine restart guard conditions,2026-03-15T14:38:23Z,schedule_fixed,2026-03-01T23:15:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,maintain closure_certified,Record the start time of the monitoring window,Check for differences,Redetermine restart guard conditions,2026-03-15T14:38:23Z,schedule_fixed,2026-03-01T23:15:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",maintain closure_certified,Record the start time of the monitoring window,Check for differences,Redetermine restart guard conditions,2026-03-15T14:38:23Z,schedule_fixed,2026-03-01T23:15:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",maintain closure_certified,Record the start time of the monitoring window,Check for differences,Redetermine restart guard conditions,2026-03-15T14:38:23Z,schedule_fixed,2026-03-01T23:15:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",maintain closure_certified,Record the start time of the monitoring window,Check for differences,Redetermine restart guard conditions,2026-03-15T14:38:23Z,schedule_fixed,2026-03-01T23:15:00Z
U15,2,How should neurorights be mapped onto technical audit items?,maintain closure_certified,Record the start time of the monitoring window,Check for differences,Redetermine restart guard conditions,2026-03-15T14:38:23Z,schedule_fixed,2026-03-01T23:15:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",maintain closure_certified,Record the start time of the monitoring window,Check for differences,Redetermine restart guard conditions,2026-03-15T14:38:23Z,schedule_fixed,2026-03-01T23:15:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,maintain closure_certified,Record the start time of the monitoring window,Check for differences,Redetermine restart guard conditions,2026-03-15T14:38:23Z,schedule_fixed,2026-03-01T23:15:00Z
