phase,topic,close_focus,keep_signal,close_signal,last_asset,note_line,avoid_point
1,EEG信号品質の限界検証,QC基準と artifact 条件が他 dataset でも再利用されるか,閾値表か failure mode 表が継続参照される,閾値追加が止まり参照も止まる,QC閾値表1枚か failure mode 表1枚,品質基準の再利用が止まった時点で再挑戦を閉じる,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,density 利得の条件が他設定でも残るか,密度差分図か条件表が比較参照される,利得条件が増えず参照も止まる,密度比較図1枚か条件表1枚,空間利得の再利用条件が消えた時点で閉じる,局在完成の物語にしない
1,マルチモーダル統合の基礎,限定的な統合利得が条件つきで残るか,同期条件メモか利得比較図が再利用される,利得条件が曖昧なまま参照も止まる,同期条件表1枚か利得比較図1枚,統合利得の限定条件が消えた時点で閉じる,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,既定値候補が複数条件で残るか,比較表か failure case が手順選択で再利用される,既定値候補が増えず比較も止まる,前処理比較表1枚か failure case 1件,既定値候補の再利用が止まった時点で閉じる,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window と再校正条件が残るか,安定区間図か再校正条件表が参照される,usable window 更新も参照も止まる,安定区間図1枚か再校正条件表1枚,運用区間の再利用が止まった時点で閉じる,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,benchmark 差分が外部比較で残るか,比較表か baseline 条件が再参照される,差分更新も再参照も止まる,benchmark 比較表1枚か baseline 条件表1枚,外部比較で意味のある差分が消えた時点で閉じる,精度競争に戻らない
2,クロスデータセット汎化,gap の原因整理が他 dataset でも残るか,gap 比較表か schema メモが再利用される,原因整理が増えず参照も止まる,gap 比較表1枚か schema メモ1枚,汎化条件の整理が止まった時点で閉じる,どこでも通用と語らない
2,リアルタイムデコーディング,replay latency 条件が実装判断に残るか,遅延図か replay 条件表が参照される,遅延条件更新も参照も止まる,遅延比較図1枚か replay 条件表1枚,実装判断に使える遅延条件が消えた時点で閉じる,true online 成功談へ戻らない
2,Foundation Modelの適用,表現学習の限定利得が task 横断で残るか,linear probe 比較表か OOD gap 表が参照される,限定利得更新も参照も止まる,probe 比較表1枚か OOD gap 表1枚,限定利得の説明力が消えた時点で閉じる,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject 条件が再利用されるか,subject holdout 表か error 分析が参照される,holdout 差分更新も参照も止まる,MI 比較表1枚か error 表1枚,被験者間条件の再利用が止まった時点で閉じる,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,P300 や SSVEP の成立条件が残るか,成立条件表か latency 図が参照される,条件更新も参照も止まる,成立条件表1枚か latency 図1枚,知覚 decoding 条件の再利用が止まった時点で閉じる,知覚全再構成の話にしない
2,言語/意味デコーディング,imagined speech や semantic 条件が限定つきで残るか,語彙条件メモか比較表が参照される,限定条件更新も参照も止まる,語彙条件表1枚か比較表1枚,成立条件の限定が消えた時点で閉じる,意味読取りの強弁に戻らない
3,感情状態の推定・分類,cross-subject 感情指標が task 差込みでも残るか,被験者間比較表かラベル条件メモが参照される,条件更新も参照も止まる,感情比較表1枚かラベル条件表1枚,感情指標の再利用が止まった時点で閉じる,心の読心へ飛ばない
3,記憶のエンコーディング/検索,encoding と retrieval の差分条件が残るか,差分図か課題条件表が参照される,差分更新も参照も止まる,差分図1枚か課題条件表1枚,記憶条件の差分整理が止まった時点で閉じる,記憶内容復元の話にしない
3,注意・ワーキングメモリ,workload 指標の usable 範囲が残るか,負荷比較表か課題条件メモが参照される,範囲更新も参照も止まる,負荷比較表1枚か条件メモ1枚,負荷指標の usable 範囲が消えた時点で閉じる,万能な集中度指標にしない
