uid,rq_index,rq_text,escalation_trigger_ja,escalation_level,required_artifact_1_ja,required_artifact_2_ja,escalation_owner,next_review_utc,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Insufficient trail or judgment conflict,level_1,decision_trace update row,publish_gate judgment log,U12_escalation_owner,2026-03-15T14:38:23Z,2026-03-01T22:36:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Insufficient trail or judgment conflict,level_1,decision_trace update row,publish_gate judgment log,U12_escalation_owner,2026-03-15T14:38:23Z,2026-03-01T22:36:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Insufficient trail or judgment conflict,level_1,decision_trace update row,publish_gate judgment log,U12_escalation_owner,2026-03-15T14:38:23Z,2026-03-01T22:36:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Insufficient trail or judgment conflict,level_1,decision_trace update row,publish_gate judgment log,U12_escalation_owner,2026-03-15T14:38:23Z,2026-03-01T22:36:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Insufficient trail or judgment conflict,level_1,decision_trace update row,publish_gate judgment log,U12_escalation_owner,2026-03-15T14:38:23Z,2026-03-01T22:36:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Insufficient trail or judgment conflict,level_1,decision_trace update row,publish_gate judgment log,U12_escalation_owner,2026-03-15T14:38:23Z,2026-03-01T22:36:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Insufficient trail or judgment conflict,level_1,decision_trace update row,publish_gate judgment log,U15_escalation_owner,2026-03-15T14:38:23Z,2026-03-01T22:36:00Z
U15,2,How should neurorights be mapped onto technical audit items?,Insufficient trail or judgment conflict,level_1,decision_trace update row,publish_gate judgment log,U15_escalation_owner,2026-03-15T14:38:23Z,2026-03-01T22:36:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Insufficient trail or judgment conflict,level_1,decision_trace update row,publish_gate judgment log,U15_escalation_owner,2026-03-15T14:38:23Z,2026-03-01T22:36:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Insufficient trail or judgment conflict,level_1,decision_trace update row,publish_gate judgment log,U15_escalation_owner,2026-03-15T14:38:23Z,2026-03-01T22:36:00Z
