phase,topic,q4_goal,task_1,task_2,task_3,q4_deliverable,avoid_point
1,EEG信号品質の限界検証,品質閾値表を年次レビュー接続用の年末版として閉じる,Q3年末前版の閾値と失敗条件を最終確認する,年次レビューへ渡す短い整理メモを作る,次年度へ残す更新メモを1本置く,品質閾値表年末版と年次整理メモ,品質から高次読取りへ飛ばない
1,高密度EEG空間分解能評価,密度比較図を年次レビュー接続用の年末版として閉じる,Q3年末前版の比較条件を最終確認する,年次レビューへ渡す標準条件メモを作る,次年度へ残す更新メモを1本置く,密度比較図年末版と標準条件メモ,局在技術の完成と語らない
1,マルチモーダル統合の基礎,最小統合利得表を年末版として閉じて限定 benchmark に接続する,Q3年末前版の同期条件を最終確認する,年次レビューへ渡す利用範囲メモを作る,次年度へ残す更新メモを1本置く,同期条件比較表年末版と利用範囲メモ,統合万能論にしない
1,ノイズ除去・信号分離手法の比較,前処理比較表を実務既定値の年末版として閉じる,Q3年末前版の既定値候補を最終確認する,年次レビューへ渡す実務メモを作る,次年度へ残す更新メモを1本置く,前処理比較表年末版と実務メモ,最強法探しへ戻らない
1,長時間記録の安定性評価,安定区間図を長時間運用の年末版として閉じる,Q3年末前版の再校正境目を最終確認する,年次レビューへ渡す運用メモを作る,次年度へ残す更新メモを1本置く,安定区間比較図年末版と運用メモ,完全追跡の話にしない
2,デコーディング精度ベンチマーク,baseline表を年次 benchmark 接続用の年末版として閉じる,Q3年末前版のsplitとmetricを最終確認する,年次レビューへ渡す更新告知メモを作る,次年度へ残す更新メモを1本置く,共通baseline表年末版と更新告知メモ,最高精度競争に戻らない
2,クロスデータセット汎化,汎化gap表を年次条件付き比較の年末版として閉じる,Q3年末前版のラベル空間と例外条件を最終確認する,年次レビューへ渡す条件メモを作る,次年度へ残す更新メモを1本置く,汎化gap比較表年末版と条件メモ,どこでも通用と語らない
2,リアルタイムデコーディング,遅延精度図を軽量運用の年末版として閉じる,Q3年末前版の遅延域を最終確認する,年次レビューへ渡す運用メモを作る,次年度へ残す更新メモを1本置く,遅延精度折り合い図年末版と運用メモ,完成システムとして語らない
2,Foundation Modelの適用,転移比較表を年次再利用基盤の年末版として閉じる,Q3年末前版のOOD条件を最終確認する,年次レビューへ渡す比較メモを作る,次年度へ残す更新メモを1本置く,表現転移比較表年末版と比較メモ,基盤モデル完成と言わない
2,運動意図デコーディング,MI baseline表を年次実務基準の年末版として閉じる,Q3年末前版の被験者外条件を最終確認する,年次レビューへ渡す共有メモを作る,次年度へ残す更新メモを1本置く,MI baseline表年末版と共有メモ,普遍的読取りにしない
2,感覚知覚デコーディング,知覚課題比較表を限定課題の年末版として閉じる,Q3年末前版の課題familyと誤分類条件を最終確認する,年次レビューへ渡す注記を作る,次年度へ残す更新メモを1本置く,知覚課題比較表年末版と注記,知覚全体復元と書かない
2,言語/意味デコーディング,最小単位比較表を言語 EEG の年末版として閉じる,Q3年末前版のラベル定義と除外条件を最終確認する,年次レビューへ渡す整理メモを作る,次年度へ残す更新メモを1本置く,最小単位比較表年末版と整理メモ,思考解読にしない
