uid,rq_index,rq_text,rollover_condition_ja,next_cycle_utc,carryover_action_ja,owner,priority_lane,rollover_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,trigger mismatched or threshold not exceeded,2026-03-15T14:38:23Z,Add one line for keep_watch reason,U12_monitor_owner,high,queued,2026-03-01T21:31:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",trigger mismatched or threshold not exceeded,2026-03-15T14:38:23Z,Add one line for keep_watch reason,U12_monitor_owner,standard,queued,2026-03-01T21:31:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,trigger mismatched or threshold not exceeded,2026-03-15T14:38:23Z,Add one line for keep_watch reason,U12_monitor_owner,high,queued,2026-03-01T21:31:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,trigger mismatched or threshold not exceeded,2026-03-15T14:38:23Z,Add one line for keep_watch reason,U12_monitor_owner,standard,queued,2026-03-01T21:31:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",trigger mismatched or threshold not exceeded,2026-03-15T14:38:23Z,Add one line for keep_watch reason,U12_monitor_owner,standard,queued,2026-03-01T21:31:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",trigger mismatched or threshold not exceeded,2026-03-15T14:38:23Z,Add one line for keep_watch reason,U12_monitor_owner,standard,queued,2026-03-01T21:31:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",trigger mismatched or threshold not exceeded,2026-03-15T14:38:23Z,Add one line for keep_watch reason,U15_monitor_owner,high,queued,2026-03-01T21:31:00Z
U15,2,How should neurorights be mapped onto technical audit items?,trigger mismatched or threshold not exceeded,2026-03-15T14:38:23Z,Add one line for keep_watch reason,U15_monitor_owner,standard,queued,2026-03-01T21:31:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",trigger mismatched or threshold not exceeded,2026-03-15T14:38:23Z,Add one line for keep_watch reason,U15_monitor_owner,high,queued,2026-03-01T21:31:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,trigger mismatched or threshold not exceeded,2026-03-15T14:38:23Z,Add one line for keep_watch reason,U15_monitor_owner,standard,queued,2026-03-01T21:31:00Z
