phase,topic,misread_focus,guard_note,keep_note_trigger,rewrite_trigger,do_not_leave_note,note_line,avoid_point
1,EEG信号品質の限界検証,品質限界が高次読取りに誤読されること,この項目は EEG 品質の境界整理であり認知内容の解読を示さない,品質差が高次解釈へ誤読されうる,より短い境界文で同じ抑止効果を保てる,補足がかえって読心連想を増やす,品質系では最初に高次解釈を切る一文を残す,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,空間利得が局在証明に誤読されること,この項目は 密度条件下の利得比較であり局在の証明を示さない,局在完成の物語へ誤読されうる,より短い限定利得文へ書き換えられる,補足が局在期待を煽る,空間分解能では局在証明を切る一文を残す,局在完成の物語にしない
1,マルチモーダル統合の基礎,統合条件が万能論に誤読されること,この項目は 同期条件の整理であり統合で全てが分かることを示さない,統合万能論へ誤読されうる,より短い同期条件文へ書き換えられる,補足が統合期待を増やす,統合系では万能論を切る一文を残す,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,比較結果が最強法決定に誤読されること,この項目は 既定値候補の比較であり最強手法の決定を示さない,ランキング解釈へ誤読されうる,より短い候補文へ書き換えられる,補足が順位づけを強める,前処理系では最強法解釈を切る一文を残す,最強法探しへ戻らない
1,長時間記録の安定性評価,運用区間が万能運用に誤読されること,この項目は usable window の整理であり長時間利用の万能性を示さない,長時間万能論へ誤読されうる,より短い運用区間文へ書き換えられる,補足が万能利用の期待を増やす,長時間運用では万能論を切る一文を残す,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,比較結果が勝敗に誤読されること,この項目は benchmark 条件比較であり一般的な勝敗を示さない,精度競争へ誤読されうる,より短い比較文へ書き換えられる,補足が勝敗物語を強める,benchmarkでは勝敗解釈を切る一文を残す,精度競争に戻らない
2,クロスデータセット汎化,gap整理が普遍汎化に誤読されること,この項目は gap 要因整理でありどこでも通用することを示さない,普遍汎化へ誤読されうる,より短いgap文へ書き換えられる,補足が一般化期待を増やす,汎化系では普遍通用解釈を切る一文を残す,どこでも通用と語らない
2,リアルタイムデコーディング,遅延整理が true online 成功に誤読されること,この項目は replay 条件での遅延整理であり true online 成功を示さない,本番 online 成功へ誤読されうる,より短い遅延文へ書き換えられる,補足が本番成功期待を増やす,リアルタイム系では true online 解釈を切る一文を残す,true online 成功談にしない
2,Foundation Modelの適用,限定利得が万能論に誤読されること,この項目は 限定 task での利得整理であり万能適用を示さない,万能論へ誤読されうる,より短い限定利得文へ書き換えられる,補足がモデル期待を増やす,FM系では万能解釈を切る一文を残す,基盤モデル万能論に戻らない
2,運動意図デコーディング,被験者差分が一般解読に誤読されること,この項目は 被験者差分の整理であり一般的な意図読取りを示さない,一般運動意図読取りへ誤読されうる,より短い差分文へ書き換えられる,補足が一般性期待を増やす,運動意図系では一般解読解釈を切る一文を残す,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,識別成立が全再構成に誤読されること,この項目は 刺激条件つき識別であり知覚の完全再構成を示さない,全再構成へ誤読されうる,より短い成立条件文へ書き換えられる,補足が再構成期待を増やす,知覚系では再構成解釈を切る一文を残す,知覚全再構成の話にしない
2,言語/意味デコーディング,語彙条件差が思考読取りに誤読されること,この項目は 語彙条件差の整理であり思考全文の読取りを示さない,全文読心へ誤読されうる,より短い語彙文へ書き換えられる,補足が読心期待を増やす,言語系では思考読取り解釈を切る一文を残す,全文読心の話へ飛ばない
3,感情状態の推定・分類,分類結果が内心断定に誤読されること,この項目は ラベル条件つき分類であり内心の確定を示さない,感情断定へ誤読されうる,より短いラベル文へ書き換えられる,補足が断定期待を増やす,感情系では内心断定解釈を切る一文を残す,感情断定の話にしない
3,記憶のエンコーディング/検索,条件差が記憶内容読取りに誤読されること,この項目は encoding 条件差の整理であり記憶内容の読取りを示さない,記憶内容読取りへ誤読されうる,より短い記憶条件文へ書き換えられる,補足が内容読取り期待を増やす,記憶系では内容読取り解釈を切る一文を残す,記憶内容読取りの話へ飛ばない
3,注意・ワーキングメモリ,負荷差が監視用途に誤読されること,この項目は 負荷差分の整理であり集中状態の常時監視を示さない,全面監視へ誤読されうる,より短い負荷文へ書き換えられる,補足が監視期待を増やす,WM系では監視解釈を切る一文を残す,全面監視の話にしない
3,意思決定過程,段階差が自由意思判定に誤読されること,この項目は 段階差分の整理であり自由意思の判定を示さない,自由意思判定へ誤読されうる,より短い段階文へ書き換えられる,補足が判定期待を増やす,意思決定系では判定解釈を切る一文を残す,自由意思判定の話へ飛ばない
3,社会的認知,task差が他者理解読取りに誤読されること,この項目は 課題条件差の整理であり他者の心の読取りを示さない,他者理解読取りへ誤読されうる,より短いtask文へ書き換えられる,補足が心読み期待を増やす,社会認知系では心読み解釈を切る一文を残す,心の読み過ぎ物語にしない
3,創造性・問題解決,proxy差が創造性断定に誤読されること,この項目は proxy 指標差の整理であり創造性そのものの測定を示さない,創造性断定へ誤読されうる,より短いproxy文へ書き換えられる,補足が断定期待を増やす,創造性系では創造性断定解釈を切る一文を残す,創造性断定の話にしない
3,主観的経験の定量化,対応範囲が主観読取りに誤読されること,この項目は 自己報告との対応範囲であり主観の直接読取りを示さない,主観直接読取りへ誤読されうる,より短い対応文へ書き換えられる,補足が直接読取り期待を増やす,主観系では直接読取り解釈を切る一文を残す,主観の直接読取りにしない
4,意識の神経相関（NCC）定量化,候補条件が本質証明に誤読されること,この項目は NCC 候補条件の整理であり意識の本質証明を示さない,本質証明へ誤読されうる,より短い候補文へ書き換えられる,補足が本質期待を増やす,NCC系では本質証明解釈を切る一文を残す,本質証明の話にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,境界整理が単一尺度に誤読されること,この項目は 状態境界の整理であり意識を一つの値で測ることを示さない,単一尺度神話へ誤読されうる,より短い境界文へ書き換えられる,補足が単一尺度期待を増やす,state系では単一尺度解釈を切る一文を残す,単一尺度神話にしない
4,統合情報理論(IIT)の実証的検証,proxy整理が理論決着に誤読されること,この項目は IIT proxy の限界整理であり理論決着を示さない,理論決着へ誤読されうる,より短いproxy文へ書き換えられる,補足が決着期待を増やす,IIT系では理論決着解釈を切る一文を残す,理論決着を語らない
4,Global Workspace Theory の検証,proxy整理が勝敗に誤読されること,この項目は workspace proxy 条件の整理であり理論の勝敗を示さない,理論の勝敗へ誤読されうる,より短いworkspace文へ書き換えられる,補足が勝敗期待を増やす,GWT系では勝敗解釈を切る一文を残す,理論の勝敗表にしない
4,意識の連続性と同一性,proxy整理が人格測定に誤読されること,この項目は 連続性 proxy の有効域整理であり人格同一性の測定を示さない,人格同一性測定へ誤読されうる,より短いproxy文へ書き換えられる,補足が測定期待を増やす,連続性系では人格測定解釈を切る一文を残す,人格同一性測定の話にしない
4,mind-upload可能性の理論的枠組み,非到達域整理が実証済みに誤読されること,この項目は EEG 単独で言えない範囲の整理であり mind-upload の実証を示さない,実証済みの空気を生みうる,より短い境界文へ書き換えられる,補足が実証期待を増やす,mind-upload系では実証済み解釈を切る一文を残す,実証済みの空気を作らない
