uid,rq_index,rq_text,relink_update_condition_ja,relink_update_item_1_ja,relink_update_item_2_ja,relink_update_item_3_ja,relink_update_rule_ja,relink_update_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,When watch_relink_ready is reached,Attach the update record,Record the destination of the applied change,Record the time of application,3 relink_update_logged when records are satisfied,relink_update_ledger_fixed,2026-03-02T01:10:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",When watch_relink_ready is reached,Attach the update record,Record the destination of the applied change,Record the time of application,3 relink_update_logged when records are satisfied,relink_update_ledger_fixed,2026-03-02T01:10:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,When watch_relink_ready is reached,Attach the update record,Record the destination of the applied change,Record the time of application,3 relink_update_logged when records are satisfied,relink_update_ledger_fixed,2026-03-02T01:10:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,When watch_relink_ready is reached,Attach the update record,Record the destination of the applied change,Record the time of application,3 relink_update_logged when records are satisfied,relink_update_ledger_fixed,2026-03-02T01:10:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",When watch_relink_ready is reached,Attach the update record,Record the destination of the applied change,Record the time of application,3 relink_update_logged when records are satisfied,relink_update_ledger_fixed,2026-03-02T01:10:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",When watch_relink_ready is reached,Attach the update record,Record the destination of the applied change,Record the time of application,3 relink_update_logged when records are satisfied,relink_update_ledger_fixed,2026-03-02T01:10:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",When watch_relink_ready is reached,Attach the update record,Record the destination of the applied change,Record the time of application,3 relink_update_logged when records are satisfied,relink_update_ledger_fixed,2026-03-02T01:10:00Z
U15,2,How should neurorights be mapped onto technical audit items?,When watch_relink_ready is reached,Attach the update record,Record the destination of the applied change,Record the time of application,3 relink_update_logged when records are satisfied,relink_update_ledger_fixed,2026-03-02T01:10:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",When watch_relink_ready is reached,Attach the update record,Record the destination of the applied change,Record the time of application,3 relink_update_logged when records are satisfied,relink_update_ledger_fixed,2026-03-02T01:10:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,When watch_relink_ready is reached,Attach the update record,Record the destination of the applied change,Record the time of application,3 relink_update_logged when records are satisfied,relink_update_ledger_fixed,2026-03-02T01:10:00Z
