uid,rq_index,rq_text,cooldown_condition_ja,cooldown_check_1_ja,cooldown_check_2_ja,cooldown_check_3_ja,cooldown_rule_ja,cooldown_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,after reclose_certified,Monitor short-term differential recurrence,Monitor for recurrence of terminology drift,Monitor access fluctuation recurrence,Stable if there are no abnormalities twice in a row,watch_template_fixed,2026-03-01T23:59:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",after reclose_certified,Monitor short-term differential recurrence,Monitor for recurrence of terminology drift,Monitor access fluctuation recurrence,Stable if there are no abnormalities twice in a row,watch_template_fixed,2026-03-01T23:59:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,after reclose_certified,Monitor short-term differential recurrence,Monitor for recurrence of terminology drift,Monitor access fluctuation recurrence,Stable if there are no abnormalities twice in a row,watch_template_fixed,2026-03-01T23:59:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,after reclose_certified,Monitor short-term differential recurrence,Monitor for recurrence of terminology drift,Monitor access fluctuation recurrence,Stable if there are no abnormalities twice in a row,watch_template_fixed,2026-03-01T23:59:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",after reclose_certified,Monitor short-term differential recurrence,Monitor for recurrence of terminology drift,Monitor access fluctuation recurrence,Stable if there are no abnormalities twice in a row,watch_template_fixed,2026-03-01T23:59:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",after reclose_certified,Monitor short-term differential recurrence,Monitor for recurrence of terminology drift,Monitor access fluctuation recurrence,Stable if there are no abnormalities twice in a row,watch_template_fixed,2026-03-01T23:59:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",after reclose_certified,Monitor short-term differential recurrence,Monitor for recurrence of terminology drift,Monitor access fluctuation recurrence,Stable if there are no abnormalities twice in a row,watch_template_fixed,2026-03-01T23:59:00Z
U15,2,How should neurorights be mapped onto technical audit items?,after reclose_certified,Monitor short-term differential recurrence,Monitor for recurrence of terminology drift,Monitor access fluctuation recurrence,Stable if there are no abnormalities twice in a row,watch_template_fixed,2026-03-01T23:59:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",after reclose_certified,Monitor short-term differential recurrence,Monitor for recurrence of terminology drift,Monitor access fluctuation recurrence,Stable if there are no abnormalities twice in a row,watch_template_fixed,2026-03-01T23:59:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,after reclose_certified,Monitor short-term differential recurrence,Monitor for recurrence of terminology drift,Monitor access fluctuation recurrence,Stable if there are no abnormalities twice in a row,watch_template_fixed,2026-03-01T23:59:00Z
