uid,rq_index,rq_text,publish_path_ja,outcome_case_1_ja,outcome_case_2_ja,outcome_case_3_ja,record_destination_ja,outcome_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,After publish_gate judgment,Text reflection complete,keep_watch continue,Escalation required,commit_ledger and harvest clause,matrix_fixed,2026-03-01T22:36:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",After publish_gate judgment,Text reflection complete,keep_watch continue,Escalation required,commit_ledger and harvest clause,matrix_fixed,2026-03-01T22:36:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,After publish_gate judgment,Text reflection complete,keep_watch continue,Escalation required,commit_ledger and harvest clause,matrix_fixed,2026-03-01T22:36:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,After publish_gate judgment,Text reflection complete,keep_watch continue,Escalation required,commit_ledger and harvest clause,matrix_fixed,2026-03-01T22:36:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",After publish_gate judgment,Text reflection complete,keep_watch continue,Escalation required,commit_ledger and harvest clause,matrix_fixed,2026-03-01T22:36:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",After publish_gate judgment,Text reflection complete,keep_watch continue,Escalation required,commit_ledger and harvest clause,matrix_fixed,2026-03-01T22:36:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",After publish_gate judgment,Text reflection complete,keep_watch continue,Escalation required,commit_ledger and harvest clause,matrix_fixed,2026-03-01T22:36:00Z
U15,2,How should neurorights be mapped onto technical audit items?,After publish_gate judgment,Text reflection complete,keep_watch continue,Escalation required,commit_ledger and harvest clause,matrix_fixed,2026-03-01T22:36:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",After publish_gate judgment,Text reflection complete,keep_watch continue,Escalation required,commit_ledger and harvest clause,matrix_fixed,2026-03-01T22:36:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,After publish_gate judgment,Text reflection complete,keep_watch continue,Escalation required,commit_ledger and harvest clause,matrix_fixed,2026-03-01T22:36:00Z
